fact,rho,s_del,s_surv,margin,r_f
zsre-824,0.85,0.877597987651825,,,False
zsre-827,0.85,0.8990949988365173,,,False
zsre-830,0.85,,,,False
zsre-837,0.85,0.9124435186386108,,,False
zsre-840,0.85,,,,False
zsre-841,0.85,,,,False
zsre-843,0.85,,,,False
zsre-844,0.85,,,,True
zsre-845,0.85,,,,True
zsre-846,0.85,,,,False
zsre-849,0.85,0.8523378372192383,,,False
zsre-850,0.85,0.8883599042892456,,,True
zsre-851,0.85,,,,False
zsre-852,0.85,0.9007225036621094,,,True
zsre-853,0.85,0.8854751586914062,,,False
zsre-857,0.85,0.8849117159843445,,,False
zsre-861,0.85,0.8694639205932617,,,False
zsre-863,0.85,0.8516182899475098,,,False
zsre-872,0.85,,,,False
zsre-873,0.85,,,,False
zsre-896,0.85,,,,False
zsre-921,0.85,,,,False
zsre-923,0.85,,,,True
zsre-924,0.85,,,,False
zsre-926,0.85,,,,False
zsre-955,0.85,0.905894935131073,,,False
zsre-965,0.85,0.8815253973007202,,,False
zsre-967,0.85,,,,False
zsre-972,0.85,,,,False
zsre-978,0.85,,,,False
zsre-979,0.85,,,,False
zsre-980,0.85,,,,False
zsre-982,0.85,,,,False
zsre-983,0.85,0.8515173196792603,,,True
zsre-984,0.85,,,,True
zsre-985,0.85,,,,False
zsre-993,0.85,,,,False
zsre-994,0.85,,,,False
zsre-999,0.85,0.8635274171829224,,,False
zsre-1000,0.85,0.8543938994407654,,,False
zsre-1002,0.85,0.9086012244224548,,,False
zsre-1009,0.85,,,,False
zsre-1012,0.85,,,,False
zsre-1026,0.85,0.8782544136047363,,,False
zsre-1027,0.85,0.8752933144569397,,,False
zsre-1030,0.85,,,,False
zsre-1032,0.85,,,,False
zsre-1042,0.85,0.8625205755233765,,,False
zsre-1043,0.85,,,,False
zsre-1045,0.85,,,,False
zsre-1047,0.85,,,,False
zsre-1049,0.85,0.8554139733314514,,,True
zsre-1066,0.85,0.8829091787338257,,,True
zsre-1088,0.85,,,,False
zsre-1089,0.85,0.8817059397697449,,,False
zsre-1090,0.85,,,,False
zsre-1091,0.85,0.8763803243637085,,,False
zsre-1094,0.85,,,,False
zsre-1098,0.85,,,,False
zsre-1100,0.85,,,,False
zsre-1102,0.85,0.8980529308319092,,,False
zsre-1110,0.85,0.9023362398147583,,,False
zsre-1115,0.85,,,,False
zsre-1124,0.85,,,,False
zsre-1126,0.85,,,,False
zsre-1128,0.85,,,,True
zsre-1141,0.85,,,,False
zsre-1147,0.85,0.8513754606246948,,,True
zsre-1148,0.85,,,,False
zsre-1150,0.85,,,,True
zsre-1152,0.85,,,,False
zsre-1154,0.85,,,,True
zsre-1157,0.85,,,,False
zsre-1158,0.85,,,,False
zsre-1162,0.85,,,,False
zsre-1165,0.85,,,,False
zsre-1171,0.85,,,,False
zsre-1174,0.85,,,,False
zsre-1176,0.85,,,,True
zsre-1185,0.85,0.8800326585769653,,,False
zsre-1196,0.85,,,,False
zsre-1234,0.85,,,,True
zsre-1235,0.85,,,,True
zsre-1237,0.85,0.8698980212211609,,,False
zsre-1238,0.85,,,,False
zsre-1245,0.85,,,,False
zsre-1258,0.85,,,,False
zsre-1259,0.85,0.9022310972213745,,,False
zsre-1260,0.85,,,,False
zsre-1261,0.85,,,,False
zsre-1262,0.85,,,,False
zsre-1263,0.85,,,,False
zsre-1265,0.85,,,,False
zsre-1266,0.85,,,,False
zsre-1267,0.85,,,,False
zsre-1268,0.85,0.8854120373725891,,,False
zsre-1269,0.85,0.9271919131278992,,,False
zsre-1272,0.85,,,,True
zsre-1273,0.85,,,,True
zsre-1278,0.85,,,,False
zsre-1281,0.85,,,,True
zsre-1282,0.85,,,,True
zsre-1283,0.85,,,,True
zsre-1285,0.85,0.9335684776306152,,,True
zsre-1286,0.85,0.9277738332748413,,,True
zsre-1290,0.85,,,,False
zsre-1292,0.85,,,,False
zsre-1299,0.85,,,,False
zsre-1301,0.85,,,,False
zsre-1303,0.85,,,,False
zsre-1304,0.85,0.8531073331832886,,,True
zsre-1305,0.85,,,,False
zsre-1316,0.85,,,,False
zsre-1320,0.85,,,,False
zsre-1322,0.85,,,,False
zsre-1330,0.85,0.85869300365448,,,False
zsre-1332,0.85,,,,False
zsre-1338,0.85,0.8795487880706787,,,True
zsre-1342,0.85,,,,False
zsre-1344,0.85,,,,False
zsre-1349,0.85,,,,False
zsre-1359,0.85,,,,False
zsre-1383,0.85,,,,False
zsre-1384,0.85,,,,False
zsre-1391,0.85,,,,True
zsre-1397,0.85,0.9147387742996216,,,False
zsre-1401,0.85,,,,False
zsre-1402,0.85,,,,False
zsre-1412,0.85,0.8823628425598145,,,False
zsre-1413,0.85,0.8801369667053223,,,False
zsre-1420,0.85,,,,False
zsre-1422,0.85,,,,True
zsre-1427,0.85,,,,False
zsre-1430,0.85,,,,False
zsre-1432,0.85,,,,True
zsre-1458,0.85,,,,False
zsre-1464,0.85,,,,False
zsre-1466,0.85,,,,False
zsre-1469,0.85,,,,False
zsre-1472,0.85,0.8827941417694092,,,False
zsre-1475,0.85,,,,True
zsre-1479,0.85,0.8905963897705078,,,True
zsre-1480,0.85,0.8614901900291443,,,False
zsre-1481,0.85,,,,True
zsre-1482,0.85,,,,True
zsre-1483,0.85,,,,True
zsre-1484,0.85,,,,True
zsre-1485,0.85,,,,False
zsre-1486,0.85,,,,True
zsre-1492,0.85,,,,False
zsre-1495,0.85,,,,False
zsre-1496,0.85,,,,False
