rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,7407,5982,0.8076144187930336,0.47171594437694075,0.6662616443904414,0.6662616443904414,0.29688132847306603,0.10233562845956527,0.660481444332999,0.3676028084252758
0.85,0.01,hyphenated,single,7407,5933,0.8009990549480221,0.47171594437694075,0.13743755906574862,0.13743755906574862,0.001755096530309167,0.3360334818415013,0.005562110230911849,0.0021911343333895165
0.85,0.01,letter-spaced,single,7407,5934,0.8011340623734305,0.47171594437694075,0.1331173214526799,0.1331173214526799,0.0,0.33859862292426085,0.0003370407819346141,0.0
0.85,0.01,prefix-cue,single,7407,5937,0.8015390846496557,0.47171594437694075,0.1328473066018631,0.1328473066018631,0.0,0.33886863777507764,0.0,0.0
0.85,0.02,verbatim,single,7407,5445,0.7351154313487241,0.47171594437694075,0.6604563250978804,0.6604563250978804,0.2781152963412988,0.08937491562035912,0.655463728191001,0.3783287419651056
0.85,0.02,hyphenated,single,7407,5401,0.7291751046307547,0.47171594437694075,0.18280005400297017,0.18280005400297017,0.001755096530309167,0.2906709869042797,0.005554526939455656,0.002406961673764118
0.85,0.02,letter-spaced,single,7407,5402,0.7293101120561631,0.47171594437694075,0.17888483866612664,0.17888483866612664,0.0,0.2928311057108141,0.00037023324694557573,0.0
0.85,0.02,prefix-cue,single,7407,5404,0.7295801269069799,0.47171594437694075,0.17861482381530985,0.17861482381530985,0.0,0.2931011205616309,0.0,0.0
0.85,0.05,verbatim,single,7407,4216,0.5691913055218037,0.47171594437694075,0.6512758201701093,0.6512758201701093,0.23666801674092075,0.05710814094775213,0.6520398481973435,0.41579696394686905
0.85,0.05,hyphenated,single,7407,4186,0.5651410827595518,0.47171594437694075,0.28324557850681786,0.28324557850681786,0.0016200891049007696,0.19009045497502364,0.005494505494505495,0.002866698518872432
0.85,0.05,letter-spaced,single,7407,4185,0.5650060753341434,0.47171594437694075,0.2804104225732415,0.2804104225732415,0.0,0.1913055218036992,0.00023894862604540023,0.0
0.85,0.05,prefix-cue,single,7407,4187,0.5652760901849602,0.47171594437694075,0.2801404077224247,0.2801404077224247,0.0,0.191575536654516,0.0,0.0
