fact,rho,s_del,s_surv,margin,r_f
a8a53b33-f548-4d06-bcef-2a1df4f247c6,0.85,0.9386497139930725,,,True
749aae17-3e0e-4c41-9a51-657674b5543d,0.85,,,,True
70594d31-710a-4f29-a6ae-4b9ccd838196,0.85,0.8636349439620972,,,False
f72a2d98-3528-43b7-a533-70a6d565a1b1,0.85,0.8501571416854858,,,False
ef5611a9-f3cd-4b0b-8e27-0679583b5dec,0.85,0.8500831127166748,,,False
9c31c98d-8e5e-4caa-b8d3-9cea4c19e411,0.85,,,,False
376b6817-9c63-457b-a7e2-2de0cfe187f3,0.85,0.873110830783844,,,True
d8810ab1-5570-461f-96b4-fc9ec26dbfea,0.85,,,,False
b49f910e-b586-41ee-aca0-453440dd27a7,0.85,0.8849343061447144,,,True
a727468b-385d-4d58-a93a-837f338e38db,0.85,0.9424600005149841,,,True
850d071d-a7ef-45db-b724-7c2cb1f58fcb,0.85,0.8609654903411865,,,False
8abb1168-2393-4589-aeb2-fa0a2d7c21cc,0.85,0.9227234125137329,,,False
8e3f6d91-f351-4c58-b924-645de00f4ae7,0.85,,,,False
9904283c-60ee-45d5-8283-f2cdde18e8dc,0.85,,,,True
87ce00f1-64ff-40f9-b466-41b56f61d3e3,0.85,,,,False
96767a38-691e-44c8-b2c4-c386668b3471,0.85,0.8564910888671875,,,False
5c8aae3b-f13d-4d42-9252-5937ea774c80,0.85,0.8634325861930847,,,False
7e6f2e08-3a5f-4d7d-bd37-65084089beab,0.85,,,,False
0255884b-7e4c-4103-a55c-30fb9b198ab9,0.85,0.889950156211853,,,False
e89a85cf-caa5-48ae-9a4a-434c7738cc38,0.85,0.8623530268669128,,,False
18256181-cb70-47d0-b7fa-b6b03a5e1d55,0.85,0.8827410936355591,,,False
3bd74c79-e7d3-4444-a083-1ada1dccd90e,0.85,0.9624993801116943,,,True
0e95a2f8-d17f-4a0c-89a4-13c93950ce39,0.85,0.8642783164978027,,,False
0f3468ce-eb49-4a4e-b758-1e420411929c,0.85,0.9036372900009155,,,False
ebaeb143-4115-43bb-a3a7-5af8d9232310,0.85,,,,False
2e5cef01-87b6-4abd-9f2d-b9368c325947,0.85,,,,False
38ac80c3-bbd0-483d-9de3-7279933e1b93,0.85,0.9191340208053589,,,False
26e3dd2f-e730-4c56-9971-0ebafb58de67,0.85,,,,True
04ddde5e-7b37-4e26-b4e1-f9abd2cdb30e,0.85,0.9206711053848267,,,False
4b8d0cce-07f7-4f11-a417-8dc0388adaed,0.85,0.8610354661941528,,,False
7c2d7ea8-cfc7-4a02-99b6-6b22c4931173,0.85,0.9168814420700073,,,False
be67b631-bd6e-491d-ae46-4136b05b0908,0.85,0.862584114074707,,,True
17d062a2-f15f-4c9a-b245-94e4c1eb5568,0.85,0.8839109539985657,,,False
18c6ea4a-8bb2-4fa4-9130-2486b17db592,0.85,,,,False
e15cc1a8-4027-4bce-b6b7-ad34d85a4c48,0.85,0.9427777528762817,,,False
7b6ef166-35d1-41ec-bb52-af71a0f33090,0.85,0.9402549266815186,,,True
421c7a20-2c4d-4b61-a160-eee4239b71cb,0.85,,,,False
4e781920-bc56-471f-b6ef-0b65be1f215a,0.85,,,,True
5c5491f5-12cc-41e5-8304-cb8efa8bc4dd,0.85,,,,False
c1d966d2-ddab-4304-b3a6-c2bc31dcbd9c,0.85,,,,False
8a246f34-2f07-4a69-86f7-0f067cf317b0,0.85,0.9042767286300659,,,False
dde10d39-3210-4e16-9c5e-0d733affb380,0.85,,,,False
384461ea-e14c-44f3-bccd-2b24561af0ab,0.85,0.9296078681945801,,,True
dd79d4b5-c415-4a3f-8931-d4bba13117bd,0.85,,,,True
8db607ac-17b1-4e77-8003-30650a6951b3,0.85,,,,False
21cf226d-8cf3-4a29-96e8-3eb27d2a1d55,0.85,0.8965960741043091,,,False
9124e36c-8a10-4d04-86bc-b51742c3daac,0.85,0.8532043099403381,,,True
1c627f8e-0a7f-4f4c-8223-92e2a8da6931,0.85,,,,False
ae6dd874-f04a-445a-b5c9-c6e2067026c3,0.85,0.9189592003822327,,,True
486e7b62-16d9-4501-8150-98561e9b99d9,0.85,0.9189509153366089,,,False
ec0a96be-9e39-41fa-9cc4-04e4427b78cb,0.85,,,,False
45646df6-173e-46a8-bab5-d4159af76499,0.85,,,,False
da6a31ba-d376-4bbc-bdcf-a54ba1be7fd7,0.85,,,,False
d10931bc-1831-428a-86d4-d77cee5c94e0,0.85,,,,True
31ecac67-6239-4682-99d4-baa570ae0738,0.85,,,,True
5cfe6347-170e-4aa0-825d-6b5fcb5e6912,0.85,0.8653833866119385,,,False
ba990cfa-7bfa-4d01-a170-40ad1d6ad088,0.85,0.8569249510765076,,,True
d2df1fe0-4b22-4966-8aa6-d7b482d9ec43,0.85,0.9109107851982117,,,True
e4b5ac74-f584-4011-9ce7-0fda01d0bae7,0.85,0.900415301322937,,,False
af8bfc31-0504-4f40-85ce-893cacd938fe,0.85,0.8714204430580139,,,True
02ed2027-16fc-41bb-ace4-6af660f5482c,0.85,,,,False
33f92ed8-e9b3-4b89-a291-6027a843a740,0.85,,,,False
78549aad-7ec6-46cb-9693-40aca7e9b797,0.85,0.8969788551330566,,,False
8a484615-b298-4b75-b9dc-dffc15353655,0.85,0.8542944192886353,,,False
eda8b651-6d74-48bf-8938-0bac4193d308,0.85,0.9161712527275085,,,False
55a9aaf7-cf62-4ff7-98b1-c1ed64df664c,0.85,,,,True
