fact,rho,s_del,s_surv,margin,r_f
bc6c09dc-4497-4bcb-8192-9e9445222c4e,0.85,0.8157998323440552,0.807021975517273,0.008777856826782227,False
e1f266e5-0d54-40b4-94ce-91074db13aa0,0.85,0.7764137387275696,0.7572287321090698,0.019185006618499756,False
fdf6687c-6d21-40a0-8f01-241dd59eb4b7,0.85,0.9231870770454407,0.8006939888000488,0.12249308824539185,False
5b3589cb-350f-495d-94b9-705563c8982f,0.85,0.7873852849006653,0.7773983478546143,0.009986937046051025,False
c68f62a0-adfb-4837-a96c-caa7abdd4384,0.85,0.7054991126060486,0.701549232006073,0.003949880599975586,False
88ae3795-3456-4a4c-9236-049b30100a30,0.85,0.6421082019805908,0.6040668487548828,0.03804135322570801,False
c7f622cd-2fc7-4fd8-a90d-54dc3fada8e9,0.85,0.8167473077774048,0.7938846945762634,0.022862613201141357,False
ba82f357-5c0c-40b5-ba0c-03b6149bf12a,0.85,0.6894299983978271,0.6827679872512817,0.00666201114654541,False
ad1bee32-f537-48b7-b22b-af93f998eb7f,0.85,0.7390849590301514,0.7365735173225403,0.002511441707611084,False
3205895c-14cd-4516-8de8-e33e70ae9bc4,0.85,0.6727049350738525,0.6625151038169861,0.010189831256866455,False
a754c3c5-3710-46df-badc-0a506dcba847,0.85,0.8009831309318542,0.7986408472061157,0.0023422837257385254,False
a5409180-efec-4ab0-8ad9-ded72348c099,0.85,0.7905082702636719,0.7832573056221008,0.007250964641571045,False
9a4daf7c-c297-48d7-af4a-ae919550f0f7,0.85,0.8241430521011353,0.695580244064331,0.1285628080368042,False
0d14af5e-a808-478f-b3e7-06ef63c102bf,0.85,0.7515254020690918,0.6627696752548218,0.08875572681427002,False
2cd733bb-3c9c-4782-bce9-72ed5cfa65cf,0.85,0.918372392654419,0.7664248943328857,0.1519474983215332,False
4b4d057b-0310-48e0-8c9e-e49b50e58109,0.85,0.6899086236953735,0.6858272552490234,0.004081368446350098,False
a94a622e-570d-4312-8957-c99d4690aef8,0.85,0.6911598443984985,0.6696525812149048,0.02150726318359375,False
3bcdaf67-828c-4525-ab9a-4d0a90d5d3b5,0.85,0.7611238956451416,0.7593173384666443,0.0018065571784973145,False
82d0fa9d-5ce6-40cf-845c-9ed3e956e884,0.85,0.937183678150177,0.8106405735015869,0.1265431046485901,False
2371db10-658c-47c2-973e-a49322ba31fc,0.85,0.8753074407577515,0.8190038204193115,0.05630362033843994,False
089e34ae-d14c-4b10-993d-80e914fe2a5d,0.85,0.9523634910583496,0.8342424631118774,0.11812102794647217,False
1ebe459f-6f61-4af5-a1c4-9a983cf56a84,0.85,0.7101657390594482,0.6823155879974365,0.02785015106201172,False
0ede79c0-cd27-46aa-a0ef-030d80a6f806,0.85,0.8550890684127808,0.8437027335166931,0.011386334896087646,False
cec75473-b4c1-4551-af8b-d7669579efcc,0.85,0.8348373770713806,0.8105524182319641,0.024284958839416504,False
b7ae82a2-dcd1-471f-bbed-a645a115e796,0.85,0.786732017993927,0.7464250922203064,0.040306925773620605,False
07d44212-88ab-4ffb-9c9a-6ccb840700a8,0.85,0.9550011157989502,0.7464556694030762,0.20854544639587402,False
1f76fc8d-fa59-42d8-9a1d-3637fc578c1a,0.85,0.9438691735267639,0.7776483297348022,0.16622084379196167,False
3f3a2470-9f21-4d26-84e0-aa7b75c859bb,0.85,0.9735066890716553,0.7591967582702637,0.2143099308013916,False
19a11ebd-9f98-4985-8090-7ff67364ff9e,0.85,0.942546010017395,0.7526105642318726,0.18993544578552246,False
