fact,rho,s_del,s_surv,margin,r_f
6cd36a17-31ec-4cf1-b9d5-6180ba25e8bb,0.85,0.9027940034866333,,,True
d746468c-594d-4a3e-8115-4d8ea8d0ae9a,0.85,,,,False
04011add-c9a6-48f4-9b83-c98b4521d425,0.85,0.9307407736778259,,,False
b8381cff-2244-4d24-b6c4-8739e8880049,0.85,0.9269742965698242,,,False
47c79a58-a320-455a-a1a3-2813e0a098d3,0.85,0.8739703893661499,,,False
739537ec-e04d-4483-9705-027476a0ea11,0.85,0.8918207883834839,,,True
5c872e79-acdf-4eb1-af74-76dc1156b4ed,0.85,0.9291767477989197,,,True
d674fbff-0c3e-4460-ba18-daf17f6f1029,0.85,0.9182859659194946,,,True
51038b2e-489f-4fcb-b401-f85419e9b6f5,0.85,0.9282534122467041,,,False
dcc0fbfe-bc71-47bf-893f-2408ddee21c4,0.85,0.9490160346031189,,,False
42ded509-e4dc-44fc-bb13-d931349aa1e2,0.85,0.9151877760887146,,,True
88bd0233-7e78-441d-a1f2-0d067f36ea34,0.85,0.8613831996917725,,,False
3ee4e03c-498b-421b-8ce0-c4ba56ef0677,0.85,0.9021382331848145,,,True
6da8204b-1964-4b2a-9b29-4d7e668daa29,0.85,0.9109014272689819,,,True
53b00256-2bfe-483d-9df1-9b3086b37bf5,0.85,,,,False
5dbed17b-2db8-4d97-9bf8-a7f78f6e290b,0.85,0.9189375638961792,,,False
6a8327b5-6c3f-4d28-9019-ee96c11757e5,0.85,0.9665078520774841,,,False
7e2a9b9d-61a8-4783-9eb3-2605bae8d4b5,0.85,0.9369910955429077,,,True
7d915715-bed2-4f16-8ad3-bd750ea90a0b,0.85,0.9228575229644775,,,True
d97f1062-788b-4a63-806a-81ae01415181,0.85,,,,True
b256f3dd-0613-45e9-8d1d-4c3cf3156e56,0.85,0.9046975374221802,,,False
a8a53b33-f548-4d06-bcef-2a1df4f247c6,0.85,0.9466966390609741,,,False
3cfd66cc-9e04-4419-a7ea-393a13c489c7,0.85,0.909165620803833,,,False
ee8de4d9-9f31-40db-a059-b095b3da6874,0.85,0.8751882314682007,,,False
749aae17-3e0e-4c41-9a51-657674b5543d,0.85,0.9321187734603882,,,True
70594d31-710a-4f29-a6ae-4b9ccd838196,0.85,0.9245119690895081,,,False
3f80eb39-c2d2-45e3-9776-7be8058dcadb,0.85,0.925665557384491,,,False
f72a2d98-3528-43b7-a533-70a6d565a1b1,0.85,0.908922553062439,,,False
b1f3957f-3b1c-4f1c-adaf-c97e000ab0ac,0.85,,,,False
ef5611a9-f3cd-4b0b-8e27-0679583b5dec,0.85,0.9320151805877686,,,False
9c31c98d-8e5e-4caa-b8d3-9cea4c19e411,0.85,0.8974349498748779,,,False
d8810ab1-5570-461f-96b4-fc9ec26dbfea,0.85,0.9458211660385132,,,False
fd9469cb-8b12-49b5-9eff-78d8b1313864,0.85,,,,False
b49f910e-b586-41ee-aca0-453440dd27a7,0.85,0.9406081438064575,,,False
964fac10-d0f3-4466-8661-b0bbe9e9fcac,0.85,0.9336709380149841,,,False
850d071d-a7ef-45db-b724-7c2cb1f58fcb,0.85,0.9539077281951904,,,False
8abb1168-2393-4589-aeb2-fa0a2d7c21cc,0.85,,,,False
478ae898-8d7b-42c2-a595-e81e1d08cbaf,0.85,,,,True
6feb54d9-2e6d-4327-b22d-93c8b1599166,0.85,0.8532102108001709,,,False
fe442040-187a-4836-9fcf-711b94c499b0,0.85,0.9041571021080017,,,True
8e3f6d91-f351-4c58-b924-645de00f4ae7,0.85,0.9214736819267273,,,True
9904283c-60ee-45d5-8283-f2cdde18e8dc,0.85,0.9319773316383362,,,True
87ce00f1-64ff-40f9-b466-41b56f61d3e3,0.85,0.9154934883117676,,,True
96767a38-691e-44c8-b2c4-c386668b3471,0.85,0.9227997064590454,,,False
6f6a5ac5-f89e-4042-a1d5-9bde6a053fb9,0.85,0.8918156027793884,,,False
5c8aae3b-f13d-4d42-9252-5937ea774c80,0.85,0.920411229133606,,,False
7e6f2e08-3a5f-4d7d-bd37-65084089beab,0.85,0.9038998484611511,,,False
0255884b-7e4c-4103-a55c-30fb9b198ab9,0.85,0.9328120946884155,,,False
e89a85cf-caa5-48ae-9a4a-434c7738cc38,0.85,0.9226834774017334,,,False
18256181-cb70-47d0-b7fa-b6b03a5e1d55,0.85,0.9151304960250854,,,False
3bd74c79-e7d3-4444-a083-1ada1dccd90e,0.85,0.9291861653327942,,,False
c6669028-d3b8-499f-81e4-9a757fbd8b1a,0.85,0.8542029857635498,,,False
0e95a2f8-d17f-4a0c-89a4-13c93950ce39,0.85,0.9220284819602966,,,False
428380ae-07d5-43ea-98fa-f94b81cd8e52,0.85,0.9401226043701172,,,False
01ce6a94-1c4f-4664-8ef4-07d5dee525d9,0.85,0.9210536479949951,,,False
a7be0221-90f5-4bd8-b147-4daafb1f7587,0.85,,,,False
ebaeb143-4115-43bb-a3a7-5af8d9232310,0.85,0.9671286344528198,,,False
2e5cef01-87b6-4abd-9f2d-b9368c325947,0.85,0.8722959756851196,,,False
38ac80c3-bbd0-483d-9de3-7279933e1b93,0.85,0.9470324516296387,,,False
26e3dd2f-e730-4c56-9971-0ebafb58de67,0.85,0.9392176866531372,,,True
04ddde5e-7b37-4e26-b4e1-f9abd2cdb30e,0.85,0.9528188705444336,,,False
08422523-29ad-4868-9096-4ef4d2f08768,0.85,0.9526470899581909,,,False
d068f214-a5d1-444c-9921-51a2878f9c7c,0.85,0.9286675453186035,,,False
4b8d0cce-07f7-4f11-a417-8dc0388adaed,0.85,0.9276654720306396,,,False
54d63cc2-f18e-4e66-9f9d-fc1f0706e100,0.85,,,,False
8b5fbae2-c740-43b4-8876-39d56c5c2116,0.85,,,,False
e0f73c07-80ba-47c6-987d-6862288db5b1,0.85,0.9141790866851807,,,True
b4dc5b10-047e-4c51-bb4e-a6b0d1b53114,0.85,,,,False
4577b9d2-6288-493b-9c01-9e777a377b44,0.85,,,,False
7c2d7ea8-cfc7-4a02-99b6-6b22c4931173,0.85,0.9026058912277222,,,False
be67b631-bd6e-491d-ae46-4136b05b0908,0.85,0.8924742341041565,,,False
17d062a2-f15f-4c9a-b245-94e4c1eb5568,0.85,0.9502863883972168,,,False
bb902801-304b-4bba-bb09-cc4db04d21ca,0.85,,,,False
18c6ea4a-8bb2-4fa4-9130-2486b17db592,0.85,0.9203985333442688,,,False
93805ec2-0442-429b-bdf2-20525df4348e,0.85,0.8954132795333862,,,False
334eed48-9b35-42d7-9082-75542bbb3067,0.85,0.8553967475891113,,,False
e15cc1a8-4027-4bce-b6b7-ad34d85a4c48,0.85,0.936167299747467,,,False
421c7a20-2c4d-4b61-a160-eee4239b71cb,0.85,0.9534240961074829,,,False
c28ddf18-7135-4bc5-b3fa-819e44c18a11,0.85,,,,False
4e781920-bc56-471f-b6ef-0b65be1f215a,0.85,0.9352428913116455,,,True
5c5491f5-12cc-41e5-8304-cb8efa8bc4dd,0.85,0.9027379751205444,,,False
bbfe55f2-0c52-4ffc-b459-41d81a9bef6e,0.85,0.9360838532447815,,,False
9e14b06b-370c-480e-90cb-3336eeb0b8a4,0.85,0.9265326261520386,,,False
c1d966d2-ddab-4304-b3a6-c2bc31dcbd9c,0.85,,,,False
be64e694-1e8f-47c5-823f-575f0f441209,0.85,0.9276041984558105,,,True
f985fa77-3155-4224-aa1d-d2e8f3b440ff,0.85,0.8827930688858032,,,False
8a246f34-2f07-4a69-86f7-0f067cf317b0,0.85,0.9338343143463135,,,False
384461ea-e14c-44f3-bccd-2b24561af0ab,0.85,0.9414160251617432,,,True
8db607ac-17b1-4e77-8003-30650a6951b3,0.85,,,,False
