target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
cf-19042,0.7,0.0,0.0,20,20,20,1.0
cf-19043,0.95,0.0,0.0,5,5,5,1.0
cf-19043,0.9,0.0,0.0,5,5,5,1.0
cf-19043,0.85,0.0,0.0,5,5,5,1.0
cf-19043,0.8,0.0,0.0,5,5,5,1.0
cf-19043,0.75,1.0,0.0,5,5,5,0.0
cf-19043,0.7,0.0,0.0,5,5,5,1.0
cf-19044,0.95,0.0,0.0,5,5,5,1.0
cf-19044,0.9,0.0,0.0,5,5,5,1.0
cf-19044,0.85,0.0,0.0,5,5,5,1.0
cf-19044,0.8,0.0,0.0,5,5,5,1.0
cf-19044,0.75,0.0,0.0,5,5,5,1.0
cf-19044,0.7,1.0,0.0,5,5,5,0.0
cf-19047,0.95,0.0,0.0,5,5,5,1.0
cf-19047,0.9,0.0,0.0,5,5,5,1.0
cf-19047,0.85,0.0,0.0,5,5,5,1.0
cf-19047,0.8,0.0,0.0,5,5,5,1.0
cf-19047,0.75,0.0,0.0,5,5,5,1.0
cf-19047,0.7,1.0,0.0,5,5,5,0.0
cf-19052,0.95,0.0,0.0,7,7,7,1.0
cf-19052,0.9,0.0,0.0,7,7,7,1.0
cf-19052,0.85,0.0,0.0,7,7,7,1.0
cf-19052,0.8,1.0,0.0,7,7,7,0.0
cf-19052,0.75,1.0,0.0,7,7,7,0.0
cf-19052,0.7,1.0,0.0,7,7,7,0.0
cf-19055,0.95,0.0,0.0,5,5,5,1.0
cf-19055,0.9,0.0,0.0,5,5,5,1.0
cf-19055,0.85,0.0,0.0,5,5,5,1.0
cf-19055,0.8,0.0,0.0,5,5,5,1.0
cf-19055,0.75,0.0,0.0,5,5,5,1.0
cf-19055,0.7,1.0,0.0,5,5,5,0.0
cf-19068,0.95,1.0,0.0,20,20,20,0.0
cf-19068,0.9,1.0,0.0,20,20,20,0.0
cf-19068,0.85,1.0,0.0,20,20,20,0.0
cf-19068,0.8,1.0,0.0,20,20,20,0.0
cf-19068,0.75,1.0,0.0,20,20,20,0.0
cf-19068,0.7,1.0,0.0,20,20,20,0.0
cf-19070,0.95,0.0,0.0,20,20,20,1.0
cf-19070,0.9,0.0,0.0,20,20,20,1.0
cf-19070,0.85,0.0,0.0,20,20,20,1.0
cf-19070,0.8,0.0,0.0,20,20,20,1.0
cf-19070,0.75,0.0,0.0,20,20,20,1.0
cf-19070,0.7,1.0,0.0,20,20,20,0.0
cf-19073,0.95,0.0,0.0,20,20,20,1.0
cf-19073,0.9,0.0,0.0,20,20,20,1.0
cf-19073,0.85,0.0,0.0,20,20,20,1.0
cf-19073,0.8,1.0,0.0,20,20,20,0.0
cf-19073,0.75,0.0,0.0,20,20,20,1.0
cf-19073,0.7,1.0,0.0,20,20,20,0.0
cf-19085,0.95,1.0,0.05,20,20,20,0.05
cf-19085,0.9,1.0,0.05,20,20,20,0.05
cf-19085,0.85,1.0,0.05,20,20,20,0.05
cf-19085,0.8,1.0,0.0,20,20,20,0.0
cf-19085,0.75,0.0,0.0,20,20,20,1.0
cf-19085,0.7,0.0,0.0,20,20,20,1.0
cf-19092,0.95,0.0,0.0,11,11,11,1.0
cf-19092,0.9,0.0,0.0,11,11,11,1.0
cf-19092,0.85,0.0,0.0,11,11,11,1.0
cf-19092,0.8,1.0,0.0,11,11,11,0.0
cf-19092,0.75,1.0,0.0,11,11,11,0.0
cf-19092,0.7,1.0,0.0,11,11,11,0.0
cf-19102,0.95,1.0,0.0,20,20,20,0.0
cf-19102,0.9,1.0,0.0,20,20,20,0.0
cf-19102,0.85,1.0,0.0,20,20,20,0.0
cf-19102,0.8,1.0,0.0,20,20,20,0.0
cf-19102,0.75,1.0,0.0,20,20,20,0.0
cf-19102,0.7,0.0,0.0,20,20,20,1.0
cf-19104,0.95,0.0,0.05,20,20,20,1.05
cf-19104,0.9,0.0,0.05,20,20,20,1.05
cf-19104,0.85,0.0,0.05,20,20,20,1.05
cf-19104,0.8,0.0,0.05,20,20,20,1.05
cf-19104,0.75,0.0,0.05,20,20,20,1.05
cf-19104,0.7,1.0,0.05,20,20,20,0.05
cf-19106,0.95,1.0,0.0,5,5,5,0.0
cf-19106,0.9,1.0,0.0,5,5,5,0.0
cf-19106,0.85,1.0,0.0,5,5,5,0.0
cf-19106,0.8,1.0,0.0,5,5,5,0.0
cf-19106,0.75,1.0,0.0,5,5,5,0.0
cf-19106,0.7,1.0,0.0,5,5,5,0.0
cf-19107,0.95,1.0,0.0,20,20,20,0.0
cf-19107,0.9,1.0,0.0,20,20,20,0.0
cf-19107,0.85,1.0,0.0,20,20,20,0.0
cf-19107,0.8,1.0,0.0,20,20,20,0.0
cf-19107,0.75,1.0,0.0,20,20,20,0.0
cf-19107,0.7,1.0,0.0,20,20,20,0.0
cf-19112,0.95,0.0,0.0,20,20,20,1.0
cf-19112,0.9,0.0,0.0,20,20,20,1.0
cf-19112,0.85,0.0,0.0,20,20,20,1.0
cf-19112,0.8,0.0,0.0,20,20,20,1.0
cf-19112,0.75,0.0,0.05,20,20,20,1.05
cf-19112,0.7,1.0,0.05,20,20,20,0.05
cf-19119,0.95,1.0,0.0,5,5,5,0.0
cf-19119,0.9,1.0,0.0,5,5,5,0.0
cf-19119,0.85,1.0,0.0,5,5,5,0.0
cf-19119,0.8,1.0,0.0,5,5,5,0.0
cf-19119,0.75,1.0,0.0,5,5,5,0.0
cf-19119,0.7,1.0,0.0,5,5,5,0.0
cf-1912,0.95,0.0,0.0,20,20,20,1.0
cf-1912,0.9,0.0,0.0,20,20,20,1.0
cf-1912,0.85,0.0,0.0,20,20,20,1.0
cf-1912,0.8,0.0,0.0,20,20,20,1.0
cf-1912,0.75,1.0,0.0,20,20,20,0.0
cf-1912,0.7,0.0,0.05,20,20,20,1.05
cf-19120,0.95,0.0,0.05,20,20,20,1.05
cf-19120,0.9,0.0,0.05,20,20,20,1.05
cf-19120,0.85,0.0,0.05,20,20,20,1.05
cf-19120,0.8,0.0,0.05,20,20,20,1.05
cf-19120,0.75,1.0,0.05,20,20,20,0.05
cf-19120,0.7,1.0,0.25,20,20,20,0.25
cf-19136,0.95,1.0,0.0,20,20,20,0.0
cf-19136,0.9,1.0,0.0,20,20,20,0.0
cf-19136,0.85,1.0,0.0,20,20,20,0.0
cf-19136,0.8,1.0,0.0,20,20,20,0.0
cf-19136,0.75,1.0,0.0,20,20,20,0.0
cf-19136,0.7,1.0,0.0,20,20,20,0.0
cf-19153,0.95,0.0,0.0,5,5,5,1.0
cf-19153,0.9,0.0,0.0,5,5,5,1.0
cf-19153,0.85,0.0,0.0,5,5,5,1.0
cf-19153,0.8,1.0,0.0,5,5,5,0.0
cf-19153,0.75,1.0,0.0,5,5,5,0.0
cf-19153,0.7,0.0,0.0,5,5,5,1.0
cf-19156,0.95,1.0,0.0,5,5,5,0.0
cf-19156,0.9,1.0,0.0,5,5,5,0.0
cf-19156,0.85,1.0,0.0,5,5,5,0.0
cf-19156,0.8,1.0,0.0,5,5,5,0.0
cf-19156,0.75,1.0,0.0,5,5,5,0.0
cf-19156,0.7,1.0,0.0,5,5,5,0.0
cf-19158,0.95,1.0,0.0,5,5,5,0.0
cf-19158,0.9,1.0,0.0,5,5,5,0.0
cf-19158,0.85,1.0,0.0,5,5,5,0.0
cf-19158,0.8,0.0,0.0,5,5,5,1.0
cf-19158,0.75,0.0,0.0,5,5,5,1.0
cf-19158,0.7,0.0,0.0,5,5,5,1.0
cf-1916,0.95,1.0,0.0,9,9,9,0.0
cf-1916,0.9,1.0,0.0,9,9,9,0.0
cf-1916,0.85,1.0,0.0,9,9,9,0.0
cf-1916,0.8,1.0,0.0,9,9,9,0.0
cf-1916,0.75,1.0,0.0,9,9,9,0.0
cf-1916,0.7,0.0,0.0,9,9,9,1.0
cf-19178,0.95,0.0,0.0,20,20,20,1.0
cf-19178,0.9,0.0,0.0,20,20,20,1.0
cf-19178,0.85,0.0,0.0,20,20,20,1.0
cf-19178,0.8,0.0,0.0,20,20,20,1.0
cf-19178,0.75,0.0,0.0,20,20,20,1.0
cf-19178,0.7,0.0,0.1,20,20,20,1.1
cf-19180,0.95,0.0,0.0,5,5,5,1.0
cf-19180,0.9,0.0,0.0,5,5,5,1.0
cf-19180,0.85,0.0,0.0,5,5,5,1.0
cf-19180,0.8,0.0,0.0,5,5,5,1.0
cf-19180,0.75,0.0,0.0,5,5,5,1.0
cf-19180,0.7,1.0,0.0,5,5,5,0.0
cf-19182,0.95,0.0,0.0,5,5,5,1.0
cf-19182,0.9,0.0,0.0,5,5,5,1.0
cf-19182,0.85,0.0,0.0,5,5,5,1.0
cf-19182,0.8,0.0,0.0,5,5,5,1.0
cf-19182,0.75,0.0,0.0,5,5,5,1.0
cf-19182,0.7,1.0,0.0,5,5,5,0.0
cf-19183,0.95,1.0,0.0,5,5,5,0.0
cf-19183,0.9,1.0,0.0,5,5,5,0.0
cf-19183,0.85,1.0,0.0,5,5,5,0.0
cf-19183,0.8,0.0,0.0,5,5,5,1.0
cf-19183,0.75,1.0,0.0,5,5,5,0.0
cf-19183,0.7,1.0,0.0,5,5,5,0.0
cf-19187,0.95,1.0,0.0,20,20,20,0.0
cf-19187,0.9,1.0,0.0,20,20,20,0.0
cf-19187,0.85,1.0,0.0,20,20,20,0.0
cf-19187,0.8,1.0,0.0,20,20,20,0.0
cf-19187,0.75,1.0,0.05,20,20,20,0.05
cf-19187,0.7,0.0,0.1,20,20,20,1.1
cf-19188,0.95,0.0,0.0,20,20,20,1.0
cf-19188,0.9,0.0,0.0,20,20,20,1.0
cf-19188,0.85,0.0,0.0,20,20,20,1.0
cf-19188,0.8,0.0,0.0,20,20,20,1.0
cf-19188,0.75,1.0,0.0,20,20,20,0.0
cf-19188,0.7,1.0,0.0,20,20,20,0.0
cf-19191,0.95,0.0,0.0,5,5,5,1.0
cf-19191,0.9,0.0,0.0,5,5,5,1.0
cf-19191,0.85,0.0,0.0,5,5,5,1.0
cf-19191,0.8,0.0,0.0,5,5,5,1.0
cf-19191,0.75,0.0,0.0,5,5,5,1.0
cf-19191,0.7,0.0,0.0,5,5,5,1.0
cf-19196,0.95,0.0,0.0,5,5,5,1.0
cf-19196,0.9,0.0,0.0,5,5,5,1.0
cf-19196,0.85,0.0,0.0,5,5,5,1.0
cf-19196,0.8,1.0,0.0,5,5,5,0.0
cf-19196,0.75,1.0,0.0,5,5,5,0.0
cf-19196,0.7,1.0,0.0,5,5,5,0.0
cf-19204,0.95,1.0,0.0,20,20,20,0.0
cf-19204,0.9,1.0,0.0,20,20,20,0.0
cf-19204,0.85,1.0,0.0,20,20,20,0.0
cf-19204,0.8,1.0,0.0,20,20,20,0.0
cf-19204,0.75,1.0,0.0,20,20,20,0.0
cf-19204,0.7,1.0,0.0,20,20,20,0.0
cf-19208,0.95,1.0,0.0,5,5,5,0.0
cf-19208,0.9,1.0,0.0,5,5,5,0.0
cf-19208,0.85,1.0,0.0,5,5,5,0.0
cf-19208,0.8,1.0,0.0,5,5,5,0.0
cf-19208,0.75,1.0,0.0,5,5,5,0.0
cf-19208,0.7,1.0,0.0,5,5,5,0.0
cf-1921,0.95,0.0,0.0,8,8,8,1.0
cf-1921,0.9,0.0,0.0,8,8,8,1.0
cf-1921,0.85,0.0,0.0,8,8,8,1.0
cf-1921,0.8,0.0,0.0,8,8,8,1.0
cf-1921,0.75,1.0,0.0,8,8,8,0.0
cf-1921,0.7,1.0,0.0,8,8,8,0.0
cf-19212,0.95,1.0,0.0,7,7,7,0.0
cf-19212,0.9,1.0,0.0,7,7,7,0.0
cf-19212,0.85,1.0,0.0,7,7,7,0.0
cf-19212,0.8,1.0,0.0,7,7,7,0.0
cf-19212,0.75,1.0,0.0,7,7,7,0.0
cf-19212,0.7,0.0,0.0,7,7,7,1.0
cf-19227,0.95,1.0,0.0,20,20,20,0.0
cf-19227,0.9,1.0,0.0,20,20,20,0.0
cf-19227,0.85,1.0,0.0,20,20,20,0.0
cf-19227,0.8,1.0,0.0,20,20,20,0.0
cf-19227,0.75,1.0,0.0,20,20,20,0.0
cf-19227,0.7,1.0,0.0,20,20,20,0.0
cf-19230,0.95,0.0,0.0,20,20,20,1.0
cf-19230,0.9,0.0,0.0,20,20,20,1.0
cf-19230,0.85,0.0,0.0,20,20,20,1.0
cf-19230,0.8,0.0,0.0,20,20,20,1.0
cf-19230,0.75,1.0,0.0,20,20,20,0.0
cf-19230,0.7,1.0,0.05,20,20,20,0.05
cf-19247,0.95,0.0,0.0,7,7,7,1.0
cf-19247,0.9,0.0,0.0,7,7,7,1.0
cf-19247,0.85,0.0,0.0,7,7,7,1.0
cf-19247,0.8,1.0,0.0,7,7,7,0.0
cf-19247,0.75,0.0,0.0,7,7,7,1.0
cf-19247,0.7,1.0,0.0,7,7,7,0.0
cf-19264,0.95,0.0,0.0,5,5,5,1.0
cf-19264,0.9,0.0,0.0,5,5,5,1.0
cf-19264,0.85,0.0,0.0,5,5,5,1.0
cf-19264,0.8,0.0,0.0,5,5,5,1.0
cf-19264,0.75,1.0,0.0,5,5,5,0.0
cf-19264,0.7,1.0,0.0,5,5,5,0.0
cf-19268,0.95,1.0,0.0,5,5,5,0.0
cf-19268,0.9,1.0,0.0,5,5,5,0.0
cf-19268,0.85,1.0,0.0,5,5,5,0.0
cf-19268,0.8,1.0,0.0,5,5,5,0.0
cf-19268,0.75,1.0,0.0,5,5,5,0.0
cf-19268,0.7,0.0,0.0,5,5,5,1.0
cf-19274,0.95,0.0,0.0,5,5,5,1.0
cf-19274,0.9,0.0,0.0,5,5,5,1.0
