target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
cf-1059,0.8,0.0,0.0,6,6,6,1.0
cf-1059,0.75,0.0,0.0,6,6,6,1.0
cf-1059,0.7,1.0,0.0,6,6,6,0.0
cf-1061,0.95,1.0,0.0,13,13,13,0.0
cf-1061,0.9,1.0,0.0,13,13,13,0.0
cf-1061,0.85,1.0,0.0,13,13,13,0.0
cf-1061,0.8,1.0,0.0,13,13,13,0.0
cf-1061,0.75,1.0,0.0,13,13,13,0.0
cf-1061,0.7,1.0,0.0,13,13,13,0.0
cf-1075,0.95,0.0,0.0,5,5,5,1.0
cf-1075,0.9,0.0,0.0,5,5,5,1.0
cf-1075,0.85,0.0,0.0,5,5,5,1.0
cf-1075,0.8,0.0,0.0,5,5,5,1.0
cf-1075,0.75,1.0,0.0,5,5,5,0.0
cf-1075,0.7,1.0,0.0,5,5,5,0.0
cf-1082,0.95,1.0,0.0,5,5,5,0.0
cf-1082,0.9,1.0,0.0,5,5,5,0.0
cf-1082,0.85,1.0,0.0,5,5,5,0.0
cf-1082,0.8,1.0,0.0,5,5,5,0.0
cf-1082,0.75,1.0,0.0,5,5,5,0.0
cf-1082,0.7,1.0,0.0,5,5,5,0.0
cf-1084,0.95,0.0,0.0,15,15,15,1.0
cf-1084,0.9,0.0,0.0,15,15,15,1.0
cf-1084,0.85,0.0,0.0,15,15,15,1.0
cf-1084,0.8,0.0,0.0,15,15,15,1.0
cf-1084,0.75,1.0,0.0,15,15,15,0.0
cf-1084,0.7,0.0,0.0,15,15,15,1.0
cf-1087,0.95,0.0,0.0,5,5,5,1.0
cf-1087,0.9,0.0,0.0,5,5,5,1.0
cf-1087,0.85,0.0,0.0,5,5,5,1.0
cf-1087,0.8,0.0,0.0,5,5,5,1.0
cf-1087,0.75,1.0,0.0,5,5,5,0.0
cf-1087,0.7,1.0,0.0,5,5,5,0.0
cf-109,0.95,0.0,0.0,5,5,5,1.0
cf-109,0.9,0.0,0.0,5,5,5,1.0
cf-109,0.85,0.0,0.0,5,5,5,1.0
cf-109,0.8,0.0,0.0,5,5,5,1.0
cf-109,0.75,0.0,0.0,5,5,5,1.0
cf-109,0.7,0.0,0.0,5,5,5,1.0
cf-1095,0.95,1.0,0.0,5,5,5,0.0
cf-1095,0.9,1.0,0.0,5,5,5,0.0
cf-1095,0.85,1.0,0.0,5,5,5,0.0
cf-1095,0.8,1.0,0.0,5,5,5,0.0
cf-1095,0.75,1.0,0.0,5,5,5,0.0
cf-1095,0.7,1.0,0.0,5,5,5,0.0
cf-1101,0.95,1.0,0.0,5,5,5,0.0
cf-1101,0.9,1.0,0.0,5,5,5,0.0
cf-1101,0.85,1.0,0.0,5,5,5,0.0
cf-1101,0.8,1.0,0.0,5,5,5,0.0
