fact,rho,s_del,s_surv,margin,r_f
cf-824,0.85,,,,False
cf-825,0.85,,,,False
cf-832,0.85,,,,False
cf-840,0.85,0.907192587852478,,,False
cf-842,0.85,0.9120477437973022,,,False
cf-846,0.85,,,,False
cf-847,0.85,,,,True
cf-850,0.85,,,,False
cf-853,0.85,0.9513238668441772,,,False
cf-854,0.85,0.9083081483840942,,,False
cf-868,0.85,,,,True
cf-871,0.85,0.8872267007827759,,,False
cf-875,0.85,0.941821813583374,,,True
cf-876,0.85,0.905875563621521,,,True
cf-878,0.85,,,,True
cf-882,0.85,,,,True
cf-883,0.85,,,,False
cf-913,0.85,,,,False
cf-916,0.85,0.9242719411849976,,,False
cf-917,0.85,,,,False
cf-919,0.85,,,,False
cf-920,0.85,,,,False
cf-922,0.85,,,,False
cf-923,0.85,,,,False
cf-926,0.85,,,,True
cf-928,0.85,0.8821572065353394,,,False
cf-930,0.85,,,,False
cf-931,0.85,0.9034978151321411,,,False
cf-934,0.85,,,,True
cf-937,0.85,,,,False
cf-945,0.85,,,,False
cf-947,0.85,0.9270060062408447,,,True
cf-953,0.85,,,,False
cf-954,0.85,,,,False
cf-957,0.85,0.8883111476898193,,,True
cf-964,0.85,,,,True
cf-971,0.85,,,,True
cf-977,0.85,,,,False
cf-982,0.85,,,,True
cf-984,0.85,,,,False
cf-988,0.85,,,,True
cf-996,0.85,,,,False
cf-1007,0.85,0.8949751853942871,,,False
cf-1008,0.85,0.9114208221435547,,,False
cf-1010,0.85,,,,False
cf-1013,0.85,,,,False
cf-1014,0.85,0.9112924933433533,,,True
cf-1020,0.85,,,,True
cf-1030,0.85,0.8955795168876648,,,False
cf-1043,0.85,0.8808609247207642,,,False
cf-1044,0.85,0.9322799444198608,,,False
cf-1048,0.85,,,,True
cf-1054,0.85,0.8688799142837524,,,True
cf-1058,0.85,,,,False
cf-1059,0.85,0.92201167345047,,,True
cf-1061,0.85,,,,False
cf-1075,0.85,,,,True
cf-1082,0.85,,,,False
cf-1084,0.85,,,,False
cf-1087,0.85,0.867065966129303,,,True
cf-1095,0.85,0.8941607475280762,,,False
cf-1101,0.85,,,,False
cf-1103,0.85,0.8792222142219543,,,False
cf-1113,0.85,,,,False
cf-1124,0.85,,,,False
cf-1132,0.85,,,,False
cf-1133,0.85,,,,True
cf-1139,0.85,,,,False
cf-1142,0.85,,,,False
cf-1143,0.85,,,,True
cf-1144,0.85,,,,True
cf-1145,0.85,,,,True
cf-1148,0.85,,,,False
cf-1150,0.85,,,,False
cf-1151,0.85,,,,False
cf-1152,0.85,0.904274582862854,,,True
cf-1165,0.85,,,,False
cf-1166,0.85,,,,False
cf-1182,0.85,0.8558880090713501,,,True
cf-1184,0.85,0.8693161010742188,,,False
cf-1187,0.85,,,,False
cf-1193,0.85,,,,True
cf-1194,0.85,0.862468957901001,,,False
cf-1196,0.85,0.8689223527908325,,,False
cf-1204,0.85,,,,False
cf-1208,0.85,,,,False
cf-1217,0.85,,,,True
cf-1222,0.85,0.8801474571228027,,,False
cf-1223,0.85,0.9044697880744934,,,True
cf-1224,0.85,,,,False
cf-1227,0.85,0.8510589003562927,,,False
cf-1229,0.85,0.9196518659591675,,,False
cf-1238,0.85,,,,True
cf-1244,0.85,,,,False
cf-1250,0.85,0.8633741140365601,,,True
cf-1255,0.85,,,,False
cf-1262,0.85,,,,True
cf-1263,0.85,0.8534969091415405,,,True
cf-1267,0.85,0.8625777363777161,,,False
cf-1270,0.85,,,,True
cf-1271,0.85,,,,False
cf-1275,0.85,,,,False
cf-1277,0.85,,,,False
cf-1278,0.85,,,,False
cf-1281,0.85,,,,False
cf-1285,0.85,,,,False
cf-1286,0.85,0.9111183881759644,,,False
cf-1287,0.85,,,,False
cf-1293,0.85,0.9173678159713745,,,False
cf-1294,0.85,0.8885825872421265,,,False
cf-1297,0.85,,,,True
cf-1298,0.85,0.9139270186424255,,,False
cf-1300,0.85,0.9356844425201416,,,False
cf-1302,0.85,0.8581270575523376,,,True
cf-1305,0.85,,,,False
cf-1308,0.85,,,,False
cf-1311,0.85,,,,True
cf-1312,0.85,,,,False
cf-1315,0.85,,,,False
cf-1321,0.85,,,,False
cf-1324,0.85,0.9212689399719238,,,False
cf-1340,0.85,,,,True
cf-1345,0.85,,,,True
cf-1358,0.85,0.8671203851699829,,,True
cf-1361,0.85,,,,False
cf-1363,0.85,0.9235708713531494,,,False
cf-1367,0.85,,,,False
cf-1373,0.85,0.9080965518951416,,,False
cf-1375,0.85,0.8822839260101318,,,False
cf-1380,0.85,,,,False
cf-1381,0.85,,,,False
cf-1382,0.85,,,,False
cf-1384,0.85,,,,False
cf-1385,0.85,0.902951717376709,,,False
cf-1390,0.85,,,,False
cf-1393,0.85,,,,False
cf-1399,0.85,0.8669823408126831,,,False
cf-1402,0.85,,,,False
cf-1404,0.85,0.9218233823776245,,,True
cf-1406,0.85,,,,False
cf-1408,0.85,0.8587496280670166,,,False
cf-1418,0.85,,,,False
cf-1422,0.85,0.8900958895683289,,,False
cf-1426,0.85,,,,False
cf-1427,0.85,0.9282844066619873,,,False
cf-1429,0.85,0.9131445288658142,,,False
cf-1432,0.85,,,,True
cf-1435,0.85,0.9178885817527771,,,True
cf-1440,0.85,0.8731087446212769,,,False
cf-1445,0.85,,,,False
cf-1449,0.85,,,,False
cf-1451,0.85,,,,False
cf-1457,0.85,0.8629391193389893,,,True
cf-1461,0.85,,,,False
cf-1463,0.85,,,,False
cf-1464,0.85,,,,False
cf-1475,0.85,0.852645993232727,,,True
cf-1479,0.85,,,,False
cf-1485,0.85,,,,False
cf-1487,0.85,,,,False
cf-1488,0.85,,,,False
